,Año,Modelo,Precio,Kms,Transmision,t_combustible,Rendimiento,Href
16,2016,Sail,$7.300.000 CLP,51000,Manual,Bencina,,https://www.chileautos.cl/vehiculos/detalles/2016-chevrolet-sail-sail-classic-nb-1-4l/CL-AD-12818354/?Cr=0&gts=CL-AD-12818354&gtsSaleId=CL-AD-12818354&gtsViewType=showcase&rankingType=showcase
17,2018,Boxer,$22.990.000 CLP,68951,Manual,Diesel,,https://www.chileautos.cl/vehiculos/detalles/2018-peugeot-boxer-l2h2/CP-AD-7927966/?Cr=0&gts=CP-AD-7927966&gtsSaleId=CP-AD-7927966&gtsViewType=showcase&rankingType=showcase
18,2019,Rexton,$25.750.000 CLP,93025,Automática,Diesel,,https://www.chileautos.cl/vehiculos/detalles/2019-ssangyong-rexton-2-2d-auto-yrx201/CL-AD-12865556/?Cr=0&gts=CL-AD-12865556&gtsSaleId=CL-AD-12865556&gtsViewType=showcase&rankingType=showcase
19,2019,V40,$24.800.000 CLP,61000,Automática,Diesel,,https://www.chileautos.cl/vehiculos/detalles/2019-volvo-v40-2-0-d2-auto-momentum/CL-AD-12835361/?Cr=0&gts=CL-AD-12835361&gtsSaleId=CL-AD-12835361&gtsViewType=showcase&rankingType=showcase
20,2019,Impreza,$18.290.000 CLP,21000,Automática,Bencina,,https://www.chileautos.cl/vehiculos/detalles/2019-subaru-impreza-2-0i-cvt-auto-xs-4wd/CP-AD-7971868/?Cr=1
21,2007,Expedition,$15.990.000 CLP,123500,Automática,Bencina,,https://www.chileautos.cl/vehiculos/detalles/2007-ford-expedition-eddie-bauer-4x4/CP-AD-7959969/?Cr=2
22,2022,Corolla,$27.460.800 CLP,,Automática,Híbrido,,https://www.chileautos.cl/vehiculos/detalles/2022-toyota-corolla-sd-cvt-hibrido-1-8/CP-AD-7916503/?Cr=3
23,2019,Durango,$29.900.000 CLP,49000,Automática,Bencina,,https://www.chileautos.cl/vehiculos/detalles/2019-dodge-durango-3-6-limited-4wd/CP-AD-7906360/?Cr=4
24,2018,118,$21.890.000 CLP,20000,Automática,Bencina,,https://www.chileautos.cl/vehiculos/detalles/2018-bmw-118-1-5-118i-a-millennial-5p/CP-AD-7988840/?Cr=5
25,2019,Tiggo,$13.980.000 CLP,37000,Manual,Bencina,,https://www.chileautos.cl/vehiculos/detalles/2019-chery-tiggo-7-1-5-glx/CP-AD-7925777/?Cr=6
26,2018,V40,$21.590.000 CLP,70500,Manual,Diesel,,https://www.chileautos.cl/vehiculos/detalles/2018-volvo-v40-2-0-d2-r-design/CP-AD-7953409/?Cr=7
27,2016,Grand,$14.890.000 CLP,119907,Automática,Bencina,,https://www.chileautos.cl/vehiculos/detalles/2016-suzuki-grand-nomade-2-4-auto-glx-ltd-nav-4wd/CP-AD-7971941/?Cr=9
28,2019,E-Pace,$37.900.000 CLP,47000,Automática,Diesel,,https://www.chileautos.cl/vehiculos/detalles/2019-jaguar-e-pace-2-0-d180-auto-4wd/CP-AD-1260490/?Cr=10
29,2014,Traverse,$14.790.000 CLP,165000,Automática,Bencina,,https://www.chileautos.cl/vehiculos/detalles/2014-chevrolet-traverse-3-6-lt-auto-4wd/CP-AD-7973022/?Cr=11
30,2015,Outback,$18.690.000 CLP,110000,Automática,Bencina,,https://www.chileautos.cl/vehiculos/detalles/2015-subaru-outback-2-5i-cvt-limited-se-4wd/CP-AD-7979836/?Cr=0&gts=CP-AD-7979836&gtsSaleId=CP-AD-7979836&gtsViewType=topspot&rankingType=topspot
31,2016,Sail,$7.300.000 CLP,51000,Manual,Bencina,,https://www.chileautos.cl/vehiculos/detalles/2016-chevrolet-sail-sail-classic-nb-1-4l/CL-AD-12818354/?Cr=0&gts=CL-AD-12818354&gtsSaleId=CL-AD-12818354&gtsViewType=showcase&rankingType=showcase
32,2018,Boxer,$22.990.000 CLP,68951,Manual,Diesel,,https://www.chileautos.cl/vehiculos/detalles/2018-peugeot-boxer-l2h2/CP-AD-7927966/?Cr=0&gts=CP-AD-7927966&gtsSaleId=CP-AD-7927966&gtsViewType=showcase&rankingType=showcase
33,2019,Rexton,$25.750.000 CLP,93025,Automática,Diesel,,https://www.chileautos.cl/vehiculos/detalles/2019-ssangyong-rexton-2-2d-auto-yrx201/CL-AD-12865556/?Cr=0&gts=CL-AD-12865556&gtsSaleId=CL-AD-12865556&gtsViewType=showcase&rankingType=showcase
34,2019,V40,$24.800.000 CLP,61000,Automática,Diesel,,https://www.chileautos.cl/vehiculos/detalles/2019-volvo-v40-2-0-d2-auto-momentum/CL-AD-12835361/?Cr=0&gts=CL-AD-12835361&gtsSaleId=CL-AD-12835361&gtsViewType=showcase&rankingType=showcase
35,2019,Impreza,$18.290.000 CLP,21000,Automática,Bencina,,https://www.chileautos.cl/vehiculos/detalles/2019-subaru-impreza-2-0i-cvt-auto-xs-4wd/CP-AD-7971868/?Cr=1
36,2007,Expedition,$15.990.000 CLP,123500,Automática,Bencina,,https://www.chileautos.cl/vehiculos/detalles/2007-ford-expedition-eddie-bauer-4x4/CP-AD-7959969/?Cr=2
37,2022,Corolla,$27.460.800 CLP,,Automática,Híbrido,,https://www.chileautos.cl/vehiculos/detalles/2022-toyota-corolla-sd-cvt-hibrido-1-8/CP-AD-7916503/?Cr=3
38,2019,Durango,$29.900.000 CLP,49000,Automática,Bencina,,https://www.chileautos.cl/vehiculos/detalles/2019-dodge-durango-3-6-limited-4wd/CP-AD-7906360/?Cr=4
39,2018,118,$21.890.000 CLP,20000,Automática,Bencina,,https://www.chileautos.cl/vehiculos/detalles/2018-bmw-118-1-5-118i-a-millennial-5p/CP-AD-7988840/?Cr=5
40,2019,Tiggo,$13.980.000 CLP,37000,Manual,Bencina,,https://www.chileautos.cl/vehiculos/detalles/2019-chery-tiggo-7-1-5-glx/CP-AD-7925777/?Cr=6
41,2018,V40,$21.590.000 CLP,70500,Manual,Diesel,,https://www.chileautos.cl/vehiculos/detalles/2018-volvo-v40-2-0-d2-r-design/CP-AD-7953409/?Cr=7
42,2016,Grand,$14.890.000 CLP,119907,Automática,Bencina,,https://www.chileautos.cl/vehiculos/detalles/2016-suzuki-grand-nomade-2-4-auto-glx-ltd-nav-4wd/CP-AD-7971941/?Cr=9
43,2019,E-Pace,$37.900.000 CLP,47000,Automática,Diesel,,https://www.chileautos.cl/vehiculos/detalles/2019-jaguar-e-pace-2-0-d180-auto-4wd/CP-AD-1260490/?Cr=10
44,2014,Traverse,$14.790.000 CLP,165000,Automática,Bencina,,https://www.chileautos.cl/vehiculos/detalles/2014-chevrolet-traverse-3-6-lt-auto-4wd/CP-AD-7973022/?Cr=11
45,2015,Outback,$18.690.000 CLP,110000,Automática,Bencina,,https://www.chileautos.cl/vehiculos/detalles/2015-subaru-outback-2-5i-cvt-limited-se-4wd/CP-AD-7979836/?Cr=0&gts=CP-AD-7979836&gtsSaleId=CP-AD-7979836&gtsViewType=topspot&rankingType=topspot
46,2016,Sail,$7.300.000 CLP,51000,Manual,Bencina,,https://www.chileautos.cl/vehiculos/detalles/2016-chevrolet-sail-sail-classic-nb-1-4l/CL-AD-12818354/?Cr=0&gts=CL-AD-12818354&gtsSaleId=CL-AD-12818354&gtsViewType=showcase&rankingType=showcase
47,2018,Boxer,$22.990.000 CLP,68951,Manual,Diesel,,https://www.chileautos.cl/vehiculos/detalles/2018-peugeot-boxer-l2h2/CP-AD-7927966/?Cr=0&gts=CP-AD-7927966&gtsSaleId=CP-AD-7927966&gtsViewType=showcase&rankingType=showcase
48,2019,Rexton,$25.750.000 CLP,93025,Automática,Diesel,,https://www.chileautos.cl/vehiculos/detalles/2019-ssangyong-rexton-2-2d-auto-yrx201/CL-AD-12865556/?Cr=0&gts=CL-AD-12865556&gtsSaleId=CL-AD-12865556&gtsViewType=showcase&rankingType=showcase
49,2019,V40,$24.800.000 CLP,61000,Automática,Diesel,,https://www.chileautos.cl/vehiculos/detalles/2019-volvo-v40-2-0-d2-auto-momentum/CL-AD-12835361/?Cr=0&gts=CL-AD-12835361&gtsSaleId=CL-AD-12835361&gtsViewType=showcase&rankingType=showcase
50,2019,Impreza,$18.290.000 CLP,21000,Automática,Bencina,,https://www.chileautos.cl/vehiculos/detalles/2019-subaru-impreza-2-0i-cvt-auto-xs-4wd/CP-AD-7971868/?Cr=1
51,2007,Expedition,$15.990.000 CLP,123500,Automática,Bencina,,https://www.chileautos.cl/vehiculos/detalles/2007-ford-expedition-eddie-bauer-4x4/CP-AD-7959969/?Cr=2
52,2022,Corolla,$27.460.800 CLP,,Automática,Híbrido,,https://www.chileautos.cl/vehiculos/detalles/2022-toyota-corolla-sd-cvt-hibrido-1-8/CP-AD-7916503/?Cr=3
53,2019,Durango,$29.900.000 CLP,49000,Automática,Bencina,,https://www.chileautos.cl/vehiculos/detalles/2019-dodge-durango-3-6-limited-4wd/CP-AD-7906360/?Cr=4
54,2018,118,$21.890.000 CLP,20000,Automática,Bencina,,https://www.chileautos.cl/vehiculos/detalles/2018-bmw-118-1-5-118i-a-millennial-5p/CP-AD-7988840/?Cr=5
55,2019,Tiggo,$13.980.000 CLP,37000,Manual,Bencina,,https://www.chileautos.cl/vehiculos/detalles/2019-chery-tiggo-7-1-5-glx/CP-AD-7925777/?Cr=6
56,2018,V40,$21.590.000 CLP,70500,Manual,Diesel,,https://www.chileautos.cl/vehiculos/detalles/2018-volvo-v40-2-0-d2-r-design/CP-AD-7953409/?Cr=7
57,2016,Grand,$14.890.000 CLP,119907,Automática,Bencina,,https://www.chileautos.cl/vehiculos/detalles/2016-suzuki-grand-nomade-2-4-auto-glx-ltd-nav-4wd/CP-AD-7971941/?Cr=9
58,2019,E-Pace,$37.900.000 CLP,47000,Automática,Diesel,,https://www.chileautos.cl/vehiculos/detalles/2019-jaguar-e-pace-2-0-d180-auto-4wd/CP-AD-1260490/?Cr=10
59,2014,Traverse,$14.790.000 CLP,165000,Automática,Bencina,,https://www.chileautos.cl/vehiculos/detalles/2014-chevrolet-traverse-3-6-lt-auto-4wd/CP-AD-7973022/?Cr=11
60,2015,Outback,$18.690.000 CLP,110000,Automática,Bencina,,https://www.chileautos.cl/vehiculos/detalles/2015-subaru-outback-2-5i-cvt-limited-se-4wd/CP-AD-7979836/?Cr=0&gts=CP-AD-7979836&gtsSaleId=CP-AD-7979836&gtsViewType=topspot&rankingType=topspot
61,2016,Sail,$7.300.000 CLP,51000,Manual,Bencina,,https://www.chileautos.cl/vehiculos/detalles/2016-chevrolet-sail-sail-classic-nb-1-4l/CL-AD-12818354/?Cr=0&gts=CL-AD-12818354&gtsSaleId=CL-AD-12818354&gtsViewType=showcase&rankingType=showcase
62,2018,Boxer,$22.990.000 CLP,68951,Manual,Diesel,,https://www.chileautos.cl/vehiculos/detalles/2018-peugeot-boxer-l2h2/CP-AD-7927966/?Cr=0&gts=CP-AD-7927966&gtsSaleId=CP-AD-7927966&gtsViewType=showcase&rankingType=showcase
63,2019,Rexton,$25.750.000 CLP,93025,Automática,Diesel,,https://www.chileautos.cl/vehiculos/detalles/2019-ssangyong-rexton-2-2d-auto-yrx201/CL-AD-12865556/?Cr=0&gts=CL-AD-12865556&gtsSaleId=CL-AD-12865556&gtsViewType=showcase&rankingType=showcase
64,2019,V40,$24.800.000 CLP,61000,Automática,Diesel,,https://www.chileautos.cl/vehiculos/detalles/2019-volvo-v40-2-0-d2-auto-momentum/CL-AD-12835361/?Cr=0&gts=CL-AD-12835361&gtsSaleId=CL-AD-12835361&gtsViewType=showcase&rankingType=showcase
65,2019,Impreza,$18.290.000 CLP,21000,Automática,Bencina,,https://www.chileautos.cl/vehiculos/detalles/2019-subaru-impreza-2-0i-cvt-auto-xs-4wd/CP-AD-7971868/?Cr=1
66,2007,Expedition,$15.990.000 CLP,123500,Automática,Bencina,,https://www.chileautos.cl/vehiculos/detalles/2007-ford-expedition-eddie-bauer-4x4/CP-AD-7959969/?Cr=2
67,2022,Corolla,$27.460.800 CLP,,Automática,Híbrido,,https://www.chileautos.cl/vehiculos/detalles/2022-toyota-corolla-sd-cvt-hibrido-1-8/CP-AD-7916503/?Cr=3
68,2019,Durango,$29.900.000 CLP,49000,Automática,Bencina,,https://www.chileautos.cl/vehiculos/detalles/2019-dodge-durango-3-6-limited-4wd/CP-AD-7906360/?Cr=4
69,2018,118,$21.890.000 CLP,20000,Automática,Bencina,,https://www.chileautos.cl/vehiculos/detalles/2018-bmw-118-1-5-118i-a-millennial-5p/CP-AD-7988840/?Cr=5
70,2019,Tiggo,$13.980.000 CLP,37000,Manual,Bencina,,https://www.chileautos.cl/vehiculos/detalles/2019-chery-tiggo-7-1-5-glx/CP-AD-7925777/?Cr=6
71,2018,V40,$21.590.000 CLP,70500,Manual,Diesel,,https://www.chileautos.cl/vehiculos/detalles/2018-volvo-v40-2-0-d2-r-design/CP-AD-7953409/?Cr=7
72,2016,Grand,$14.890.000 CLP,119907,Automática,Bencina,,https://www.chileautos.cl/vehiculos/detalles/2016-suzuki-grand-nomade-2-4-auto-glx-ltd-nav-4wd/CP-AD-7971941/?Cr=9
73,2019,E-Pace,$37.900.000 CLP,47000,Automática,Diesel,,https://www.chileautos.cl/vehiculos/detalles/2019-jaguar-e-pace-2-0-d180-auto-4wd/CP-AD-1260490/?Cr=10
74,2014,Traverse,$14.790.000 CLP,165000,Automática,Bencina,,https://www.chileautos.cl/vehiculos/detalles/2014-chevrolet-traverse-3-6-lt-auto-4wd/CP-AD-7973022/?Cr=11
75,2015,Outback,$18.690.000 CLP,110000,Automática,Bencina,,https://www.chileautos.cl/vehiculos/detalles/2015-subaru-outback-2-5i-cvt-limited-se-4wd/CP-AD-7979836/?Cr=0&gts=CP-AD-7979836&gtsSaleId=CP-AD-7979836&gtsViewType=topspot&rankingType=topspot
76,2016,Sail,$7.300.000 CLP,51000,Manual,Bencina,,https://www.chileautos.cl/vehiculos/detalles/2016-chevrolet-sail-sail-classic-nb-1-4l/CL-AD-12818354/?Cr=0&gts=CL-AD-12818354&gtsSaleId=CL-AD-12818354&gtsViewType=showcase&rankingType=showcase
77,2018,Boxer,$22.990.000 CLP,68951,Manual,Diesel,,https://www.chileautos.cl/vehiculos/detalles/2018-peugeot-boxer-l2h2/CP-AD-7927966/?Cr=0&gts=CP-AD-7927966&gtsSaleId=CP-AD-7927966&gtsViewType=showcase&rankingType=showcase
78,2019,Rexton,$25.750.000 CLP,93025,Automática,Diesel,,https://www.chileautos.cl/vehiculos/detalles/2019-ssangyong-rexton-2-2d-auto-yrx201/CL-AD-12865556/?Cr=0&gts=CL-AD-12865556&gtsSaleId=CL-AD-12865556&gtsViewType=showcase&rankingType=showcase
79,2019,V40,$24.800.000 CLP,61000,Automática,Diesel,,https://www.chileautos.cl/vehiculos/detalles/2019-volvo-v40-2-0-d2-auto-momentum/CL-AD-12835361/?Cr=0&gts=CL-AD-12835361&gtsSaleId=CL-AD-12835361&gtsViewType=showcase&rankingType=showcase
80,2019,Impreza,$18.290.000 CLP,21000,Automática,Bencina,,https://www.chileautos.cl/vehiculos/detalles/2019-subaru-impreza-2-0i-cvt-auto-xs-4wd/CP-AD-7971868/?Cr=1
81,2007,Expedition,$15.990.000 CLP,123500,Automática,Bencina,,https://www.chileautos.cl/vehiculos/detalles/2007-ford-expedition-eddie-bauer-4x4/CP-AD-7959969/?Cr=2
82,2022,Corolla,$27.460.800 CLP,,Automática,Híbrido,,https://www.chileautos.cl/vehiculos/detalles/2022-toyota-corolla-sd-cvt-hibrido-1-8/CP-AD-7916503/?Cr=3
83,2019,Durango,$29.900.000 CLP,49000,Automática,Bencina,,https://www.chileautos.cl/vehiculos/detalles/2019-dodge-durango-3-6-limited-4wd/CP-AD-7906360/?Cr=4
84,2018,118,$21.890.000 CLP,20000,Automática,Bencina,,https://www.chileautos.cl/vehiculos/detalles/2018-bmw-118-1-5-118i-a-millennial-5p/CP-AD-7988840/?Cr=5
85,2019,Tiggo,$13.980.000 CLP,37000,Manual,Bencina,,https://www.chileautos.cl/vehiculos/detalles/2019-chery-tiggo-7-1-5-glx/CP-AD-7925777/?Cr=6
86,2018,V40,$21.590.000 CLP,70500,Manual,Diesel,,https://www.chileautos.cl/vehiculos/detalles/2018-volvo-v40-2-0-d2-r-design/CP-AD-7953409/?Cr=7
87,2016,Grand,$14.890.000 CLP,119907,Automática,Bencina,,https://www.chileautos.cl/vehiculos/detalles/2016-suzuki-grand-nomade-2-4-auto-glx-ltd-nav-4wd/CP-AD-7971941/?Cr=9
88,2019,E-Pace,$37.900.000 CLP,47000,Automática,Diesel,,https://www.chileautos.cl/vehiculos/detalles/2019-jaguar-e-pace-2-0-d180-auto-4wd/CP-AD-1260490/?Cr=10
89,2014,Traverse,$14.790.000 CLP,165000,Automática,Bencina,,https://www.chileautos.cl/vehiculos/detalles/2014-chevrolet-traverse-3-6-lt-auto-4wd/CP-AD-7973022/?Cr=11
90,2015,Outback,$18.690.000 CLP,110000,Automática,Bencina,,https://www.chileautos.cl/vehiculos/detalles/2015-subaru-outback-2-5i-cvt-limited-se-4wd/CP-AD-7979836/?Cr=0&gts=CP-AD-7979836&gtsSaleId=CP-AD-7979836&gtsViewType=topspot&rankingType=topspot
91,2016,Sail,$7.300.000 CLP,51000,Manual,Bencina,,https://www.chileautos.cl/vehiculos/detalles/2016-chevrolet-sail-sail-classic-nb-1-4l/CL-AD-12818354/?Cr=0&gts=CL-AD-12818354&gtsSaleId=CL-AD-12818354&gtsViewType=showcase&rankingType=showcase
92,2018,Boxer,$22.990.000 CLP,68951,Manual,Diesel,,https://www.chileautos.cl/vehiculos/detalles/2018-peugeot-boxer-l2h2/CP-AD-7927966/?Cr=0&gts=CP-AD-7927966&gtsSaleId=CP-AD-7927966&gtsViewType=showcase&rankingType=showcase
93,2019,Rexton,$25.750.000 CLP,93025,Automática,Diesel,,https://www.chileautos.cl/vehiculos/detalles/2019-ssangyong-rexton-2-2d-auto-yrx201/CL-AD-12865556/?Cr=0&gts=CL-AD-12865556&gtsSaleId=CL-AD-12865556&gtsViewType=showcase&rankingType=showcase
94,2019,V40,$24.800.000 CLP,61000,Automática,Diesel,,https://www.chileautos.cl/vehiculos/detalles/2019-volvo-v40-2-0-d2-auto-momentum/CL-AD-12835361/?Cr=0&gts=CL-AD-12835361&gtsSaleId=CL-AD-12835361&gtsViewType=showcase&rankingType=showcase
95,2019,Impreza,$18.290.000 CLP,21000,Automática,Bencina,,https://www.chileautos.cl/vehiculos/detalles/2019-subaru-impreza-2-0i-cvt-auto-xs-4wd/CP-AD-7971868/?Cr=1
96,2007,Expedition,$15.990.000 CLP,123500,Automática,Bencina,,https://www.chileautos.cl/vehiculos/detalles/2007-ford-expedition-eddie-bauer-4x4/CP-AD-7959969/?Cr=2
97,2022,Corolla,$27.460.800 CLP,,Automática,Híbrido,,https://www.chileautos.cl/vehiculos/detalles/2022-toyota-corolla-sd-cvt-hibrido-1-8/CP-AD-7916503/?Cr=3
98,2019,Durango,$29.900.000 CLP,49000,Automática,Bencina,,https://www.chileautos.cl/vehiculos/detalles/2019-dodge-durango-3-6-limited-4wd/CP-AD-7906360/?Cr=4
99,2018,118,$21.890.000 CLP,20000,Automática,Bencina,,https://www.chileautos.cl/vehiculos/detalles/2018-bmw-118-1-5-118i-a-millennial-5p/CP-AD-7988840/?Cr=5
100,2019,Tiggo,$13.980.000 CLP,37000,Manual,Bencina,,https://www.chileautos.cl/vehiculos/detalles/2019-chery-tiggo-7-1-5-glx/CP-AD-7925777/?Cr=6
101,2018,V40,$21.590.000 CLP,70500,Manual,Diesel,,https://www.chileautos.cl/vehiculos/detalles/2018-volvo-v40-2-0-d2-r-design/CP-AD-7953409/?Cr=7
102,2016,Grand,$14.890.000 CLP,119907,Automática,Bencina,,https://www.chileautos.cl/vehiculos/detalles/2016-suzuki-grand-nomade-2-4-auto-glx-ltd-nav-4wd/CP-AD-7971941/?Cr=9
103,2019,E-Pace,$37.900.000 CLP,47000,Automática,Diesel,,https://www.chileautos.cl/vehiculos/detalles/2019-jaguar-e-pace-2-0-d180-auto-4wd/CP-AD-1260490/?Cr=10
104,2014,Traverse,$14.790.000 CLP,165000,Automática,Bencina,,https://www.chileautos.cl/vehiculos/detalles/2014-chevrolet-traverse-3-6-lt-auto-4wd/CP-AD-7973022/?Cr=11
105,2015,Outback,$18.690.000 CLP,110000,Automática,Bencina,,https://www.chileautos.cl/vehiculos/detalles/2015-subaru-outback-2-5i-cvt-limited-se-4wd/CP-AD-7979836/?Cr=0&gts=CP-AD-7979836&gtsSaleId=CP-AD-7979836&gtsViewType=topspot&rankingType=topspot
106,2016,Sail,$7.300.000 CLP,51000,Manual,Bencina,,https://www.chileautos.cl/vehiculos/detalles/2016-chevrolet-sail-sail-classic-nb-1-4l/CL-AD-12818354/?Cr=0&gts=CL-AD-12818354&gtsSaleId=CL-AD-12818354&gtsViewType=showcase&rankingType=showcase
107,2018,Boxer,$22.990.000 CLP,68951,Manual,Diesel,,https://www.chileautos.cl/vehiculos/detalles/2018-peugeot-boxer-l2h2/CP-AD-7927966/?Cr=0&gts=CP-AD-7927966&gtsSaleId=CP-AD-7927966&gtsViewType=showcase&rankingType=showcase
108,2019,Rexton,$25.750.000 CLP,93025,Automática,Diesel,,https://www.chileautos.cl/vehiculos/detalles/2019-ssangyong-rexton-2-2d-auto-yrx201/CL-AD-12865556/?Cr=0&gts=CL-AD-12865556&gtsSaleId=CL-AD-12865556&gtsViewType=showcase&rankingType=showcase
109,2019,V40,$24.800.000 CLP,61000,Automática,Diesel,,https://www.chileautos.cl/vehiculos/detalles/2019-volvo-v40-2-0-d2-auto-momentum/CL-AD-12835361/?Cr=0&gts=CL-AD-12835361&gtsSaleId=CL-AD-12835361&gtsViewType=showcase&rankingType=showcase
110,2019,Impreza,$18.290.000 CLP,21000,Automática,Bencina,,https://www.chileautos.cl/vehiculos/detalles/2019-subaru-impreza-2-0i-cvt-auto-xs-4wd/CP-AD-7971868/?Cr=1
111,2007,Expedition,$15.990.000 CLP,123500,Automática,Bencina,,https://www.chileautos.cl/vehiculos/detalles/2007-ford-expedition-eddie-bauer-4x4/CP-AD-7959969/?Cr=2
112,2022,Corolla,$27.460.800 CLP,,Automática,Híbrido,,https://www.chileautos.cl/vehiculos/detalles/2022-toyota-corolla-sd-cvt-hibrido-1-8/CP-AD-7916503/?Cr=3
113,2019,Durango,$29.900.000 CLP,49000,Automática,Bencina,,https://www.chileautos.cl/vehiculos/detalles/2019-dodge-durango-3-6-limited-4wd/CP-AD-7906360/?Cr=4
114,2018,118,$21.890.000 CLP,20000,Automática,Bencina,,https://www.chileautos.cl/vehiculos/detalles/2018-bmw-118-1-5-118i-a-millennial-5p/CP-AD-7988840/?Cr=5
115,2019,Tiggo,$13.980.000 CLP,37000,Manual,Bencina,,https://www.chileautos.cl/vehiculos/detalles/2019-chery-tiggo-7-1-5-glx/CP-AD-7925777/?Cr=6
116,2018,V40,$21.590.000 CLP,70500,Manual,Diesel,,https://www.chileautos.cl/vehiculos/detalles/2018-volvo-v40-2-0-d2-r-design/CP-AD-7953409/?Cr=7
117,2016,Grand,$14.890.000 CLP,119907,Automática,Bencina,,https://www.chileautos.cl/vehiculos/detalles/2016-suzuki-grand-nomade-2-4-auto-glx-ltd-nav-4wd/CP-AD-7971941/?Cr=9
118,2019,E-Pace,$37.900.000 CLP,47000,Automática,Diesel,,https://www.chileautos.cl/vehiculos/detalles/2019-jaguar-e-pace-2-0-d180-auto-4wd/CP-AD-1260490/?Cr=10
119,2014,Traverse,$14.790.000 CLP,165000,Automática,Bencina,,https://www.chileautos.cl/vehiculos/detalles/2014-chevrolet-traverse-3-6-lt-auto-4wd/CP-AD-7973022/?Cr=11
120,2015,Outback,$18.690.000 CLP,110000,Automática,Bencina,,https://www.chileautos.cl/vehiculos/detalles/2015-subaru-outback-2-5i-cvt-limited-se-4wd/CP-AD-7979836/?Cr=0&gts=CP-AD-7979836&gtsSaleId=CP-AD-7979836&gtsViewType=topspot&rankingType=topspot
